Name,Street Address,Type,Reviews,No of Reviews,Comments,Price_Range,State,ZipCode,City,weighted_ratings
Adrienne's Pizzabar,54 Stone St," Italian, Pizza, Vegetarian Friendly",4.5,854,"Came across this pizza bar walking back to our hotel after visiting the Statue of Liberty. I am so glad we came here; the pizza was out of this world. The flavours were incredible, pizza was well presented, and 1 pizza was shared between 3...More",$$ - $$$,NY,10004-2617,New York City,3843.0
Papaya Vietnamese Cafe,827 N 10th Pl," Asian, Vietnamese, Vegetarian Friendly",4.0,62,I love the pho at Papaya. Great service. Very clean restaurant. Friendly atmosphere. I come here often.,$$ - $$$,WA,98057-0018,Renton,248.0
Eddie V's Prime Seafood,1270 Prospect St," American, Seafood, Vegetarian Friendly",4.5,1398,,$$$$,CA,92037-3609,"La Jolla, San Diego",6291.0
Suzy Q's Barbeque Shack,2829 Niagara St," American, Barbecue",4.5,133,After about 5 tries to find them open I finally got to try this place. After all the reviews i was expecting to be blown away... i was not. the is decent BBQ for Buffalo but was lacking the smoked flavor good BBQ has. The...More,$$ - $$$,NY,14207-1031,Buffalo,598.5
Blue Ribbon Restaurant,1801 State St," Seafood, Gluten Free Options",4.5,372,Great Food at a great price Prime rib was cooked to perfection and the aus Juis sauce was good on the potatoes.,$$ - $$$,NY,12304-2023,Schenectady,1674.0
Mi Cocina Galleria,13350 Dallas Pkwy," Mexican, Southwestern, Vegetarian Friendly",4.5,321,"Location:
Rink Level, Near Macy's.
The Galleria is a massive mall and therefore a great tourist destination. During the holidays there is a larger-than-life Christmas tree that is worth visiting to wow your folks.

Seating:
Although Mi Cocina doesn't take reservations, you can easily get...More",$$ - $$$,TX,75240-6670,Dallas,1444.5
Blue Daisy Cafe,609 Broadway," American, Cafe, Vegetarian Friendly",4.5,258,,$$ - $$$,CA,90401-2517,Santa Monica,1161.0
Olive Garden,35030 Enchanted Pkwy S," Italian, Vegan Options, Vegetarian Friendly",3.5,87,"The salad and breadsticks is always a highlight to start off the meal.  The Tour of Italy main entrée is a perfect blend of three different dishes of Chicken Parmigiana, Lasagna Classico, and Fettuccine Alfredo, and the amount of food will have you taking home...More",$$ - $$$,WA,98003-8326,Federal Way,304.5
Carmen's,122 N Bay Ave," Italian, Seafood, American",4.5,178,Way too crowded during the season - well deserved crowds... Went with friends - not a complaint from appetizers to desert.  The table ordered the following appetizers: figs with goat cheese; mussels with red sauce and with white sauce.  Tasted everything - all too good...More,$$ - $$$,NJ,08008-1816,"Beach Haven, Long Beach Island",801.0
Truluck's Seafood Steak & Crab,1900 Hughes Landing Blvd," Steakhouse, Seafood, American",4.5,226,This restaurant represents all Excellence. This restaurant gives excellent service the cuisine and the drinks are made with exceptional care. The Ambiance of this Restaurant is very good with the view of the lake if you sit in in the back of the restaurant.,$$$$,TX,77380-3794,The Woodlands,1017.0
Turning Point of Cherry Hill,606 Haddonfield Rd," American, Vegetarian Friendly, Vegan Options",4.5,84,Enjoyed celebrating my best friend's birthday brunch here.  Had a quiet booth/table in the back and the food was delicious.  Will go back soon.,$$ - $$$,NJ,08002-2602,Cherry Hill,378.0
Fusha Restaurant,27 South St," Japanese, Sushi, Asian",4.0,52,Second time here. Love this place! Food was great for the price. Chicken tempura roll was my favorite. Sesame chicken entree was nice size for the price. Would def come again. This place is a hidden gem.,$$ - $$$,NJ,07728-2207,Freehold,208.0
Papapavlo's Bistro & Bar,501 Lincoln Ctr," Mediterranean, Greek, Vegetarian Friendly",4.5,138,,$$ - $$$,CA,95207-2637,Stockton,621.0
The Hollow Bar + Kitchen,79 N Pearl St," Italian, American, Bar",4.0,167,"Chose this place due to location down the street from stadium and menu options. Rustic atmosphere, creative decorating, very friendly staff and delicious dinner. All of us were satisfied. Recommend reservations, even if going at an off time.  Would go here again.",$$ - $$$,NY,12207-2293,Albany,668.0
Vince's Italian Restaurant & Pizzeria,32411 Pacific Hwy S," Italian, Pizza, Vegetarian Friendly",4.0,89,"Always wanted to go to Vince’s, but living in Tacoma, we have stayed closer to home as there are plenty of good Italian restaurants nearby. However, some friends of ours invited us to dinner and so we agreed to meet here. Wish we hadn’t waited...More",$$ - $$$,WA,98003-8546,Federal Way,356.0
Redbird,114 E 2nd St," American, Vegetarian Friendly, Gluten Free Options",4.5,259,,$$$$,CA,90012-3711,Los Angeles,1165.5
Zinburger Wine & Burger Bar,850 State Rt 3," Wine Bar, American, Bar",4.0,209,"In the first year, we went twice and were impressed by the double-digit-cost burgers. We were saving it for splurge days.  The last three times the burgers were overdone and the bread fairly stale. Three strikes and you’re out, in my book.",$$ - $$$,NJ,07012-2341,Clifton,836.0
Simeon's On the Commons,224 E State St," American, Bar, Pub",4.0,219,My girlfriend and I had a recent trip to Ithaca and were treated terrificall by the Brenda who has been a long time employee.  The restaurant is on the commons so its convenient to the downtown hotels and has a feel of comfort in an...More,$$ - $$$,NY,14850-5548,Ithaca,876.0
Zaika Indian Cuisine Buffet & Bar,421 3rd St," International, Indian, Asian",4.5,496,"Went to Zaika after reading the reviews.   Food was OK,  some dishes were pretty good.  We would have preferred entrees be cooked when ordered as oppose to a buffet.  Makes us wonder the freshness of the entrees in a buffet setting.  The naan was quite...More",$$ - $$$,NY,14301-1505,Niagara Falls,2232.0
Zab Thai,11108 Evergreen Way Ste A," Asian, Thai, Vegetarian Friendly",4.5,57,"Ordered the chicken pad Thai with a side of spring rolls. It came with 4 large spring rolls.. too much for one person, clearly. The portion of pad Thai was pretty big, I ate less than half. I’d say the food was okay. I’ve had...More",$$ - $$$,WA,98204-3886,Everett,256.5
New Moon Cafe,113 4th Ave W," American, Cafe, Vegetarian Friendly",4.0,112,We caught breakfast at this eclectic gem in downtown Olympia. It is small but cozy. I guess timing is everything ... we did not have to wait for a table. Bottomless cup of coffee and tasty egg scrambles and fresh fruit. Personable and very competent...More,$$ - $$$,WA,98501-1001,Olympia,448.0
Bouldin Creek Cafe,1900 S 1st St," American, Cafe, Vegetarian Friendly",4.5,438,"Vegetarian doesn't have to mean earnest but I would say the food here, while good and healthy, is not bright with color or flavor. I had Fajitas Italianas, with roasted portobellos - I ate it all but was not delighted.  I like the atmosphere -...More",$$ - $$$,TX,78704-4254,Austin,1971.0
London Lennie's,6388 Woodhaven Blvd," American, Seafood, Gluten Free Options",4.0,297,"I tend to avoid restaurants where almost all of the main courses are over $30 but this place has a special ranking. In the past I have been to top seafood restaurants in Manhattan and elsewhere and for me, none are better than LL. We...More",$$ - $$$,NY,11374-4840,Rego Park,1188.0
India Grill,4000 Five Points Dr Ste 109," Indian, Vegetarian Friendly, Vegan Options",4.5,80,"Tried this location for Indian. Very pleasant staff; ordered naan and tikka masala. It took quite a while to get it (over 20 minutes), although there were less than 10 customers in the restaurant during the early evening. The food was very good though. Decent...More",$$ - $$$,TX,76018-6041,Arlington,360.0
Delia's,3400 N 10th St," Mexican, Fast Food, Vegetarian Friendly",4.5,453,"Parents had Tamales waiting for us from our trek in from KC via Houston.  We had the pork and the chicken, both fresh and tasty.  Green salsa very spicy.  Would recommend.",$,TX,78501-1930,McAllen,2038.5
The Serenity Cafe,2008 Route 37 E," American, Contemporary, Vegetarian Friendly",4.5,149,"This restaurant is a MUST stop for those who love great food.
While every evening is good Tuesday does have a 'special' menu.
Never been disappointed!",$$ - $$$,NJ,08753-7183,Toms River,670.5
Village Square Cafe,16150 NE 85th St Ste 104," American, Cafe, Diner",4.5,88,"This place is a gem. Breakfast and Lunch only, but very tasty and creative menu items. Great fast order chefs, top notch service. You may have a wait and there isn’t a waiting area to speak of, but they have the waitlist app so once...More",$$ - $$$,WA,98052-3540,Redmond,396.0
Nic L Inn Wine Cellar on the Hudson,135 N Water St," Italian, American, Wine Bar",4.5,308,"We went to dinner on New Year’s Eve.  Food was excellent, they were out of the rib eye and substituted a sirloin for my husband.  I had the salmon, both  entrees were delicious.  My husband had the eggnog cheesecake which was again delicious.  I got...More",$$ - $$$,NY,12601-1756,Poughkeepsie,1386.0
Koharu Japanese Restaurant,31840 Pacific Hwy S Ste C," Japanese, Sushi, Asian",4.5,48,Consistenly improving their menu since taking over for last owners.  Sushi was well-prepared; the Bento box I tried (Mongolian beef bento) was something I would order again.  Everything at the right temperature and nicely plated in the box.  The Miso soup tastes homemade and is...More,$$ - $$$,WA,98003-5450,Federal Way,216.0
zero otto nove,2357 Arthur Ave," Italian, Pizza, Vegetarian Friendly",4.5,426,"A fund and exciting menu...staff is helpful and  accommodating  and dining there is really an experience like
being in  Tuscany...especially if it is someone's birthday!",$$ - $$$,NY,10458-8103,Bronx,1917.0
Skyline Diner,314 Columbia St," American, Diner, Vegetarian Friendly",4.5,63,"If your looking for great food,fast service and friendly staff, skyline is a must try We only go for breakfast but im sure all there food is good.",$,NY,12144-2919,Rensselaer,283.5
Shogun Legacy,1536 N Bay Ave," Sushi, Asian, Japanese",4.5,48,"Shogun not only has great food, but the best service.  The Patio Bar has awesome entertainment, whether it is a full band or an acoustic duo.  The views over the golf course make for beautiful sunsets while enjoying the night outdoors!",$$ - $$$,NJ,08753-3398,Toms River,216.0
Hillstone Restaurant,202 Wilshire Blvd," American, Sushi, Vegetarian Friendly",4.5,750,,$$ - $$$,CA,90401-1202,Santa Monica,3375.0
Bootleggers Craft Pub & Eatery,955 Oak St," American, Bar, Pub",4.5,105,,$$ - $$$,CA,93304-1067,Bakersfield,472.5
Dave Wongs,2828 W March Ln," Chinese, Asian, Vegetarian Friendly",4.5,394,,$$ - $$$,CA,95219-8248,Stockton,1773.0
Battalion,604 S Alamo St," Italian, Vegetarian Friendly, Vegan Options",4.5,217,"This was our second visit to Battalion. My husband & I shared all of our dishes. We had the Meatballs which are very good and filling. We also had the Spinach Dumplings, my favorite-so yummy! The Chicken Parmesan was very good, as well. We were...More",$$ - $$$,TX,78205-3402,San Antonio,976.5
Three Pints Pub,10710 Gateway Blvd N," American, Bar, Pub",4.5,68,London was an awesome bartender. Made me feel welcome! I came in for 1 drink and ended up having a few since I was having a good time and felt comfortable. Even decided to order the Pub Club which was delicious! Thanks 3 Pints! Oh...More,$$ - $$$,TX,79924-1739,El Paso,306.0
Antojitos mexicanos,3512 Summitview Ave," Mexican, Latin, Vegetarian Friendly",4.5,96,"Yakima is replete with Mexican eateries, many of them serving up delicious fare.  But Antojitos stands out from all the rest as the best of a great spectrum.  Antojitos began as a hole-in-the-wall establishment but soon outgrew the site because of burgeoning word-of-mouth trade.  This...More",$$ - $$$,WA,98902-2259,Yakima,432.0
Eddie V's Prime Seafood,9400B Arboretum Blvd," American, Seafood, International",4.5,244,"As always, the food was amazing. The service? Spectacular. So why did I give up four stars instead of five?

I made the reservations in my name, as this is my OpenTable account. When the waiter came to our table, he kept addressing my husband...More",$$$$,TX,78759-6392,Austin,1098.0
Border Foundry Restaurant & Bar,7718 McPherson Rd," American, Steakhouse, Vegetarian Friendly",4.5,73,Been here many times and definitely recommend anything on special. You have to try the beef short rib...it's only served on the weekends. Bring an appetite!,$$$$,TX,78045-2815,Laredo,328.5
Forma,1610 Montana Ave," Italian, Mediterranean, European",4.5,215,,$$ - $$$,CA,90403-1808,Santa Monica,967.5
Jupiter,2181 Shattuck Ave," American, Bar, Pizza",4.0,324,,$$ - $$$,CA,94704-1308,Berkeley,1296.0
Mediterranean Grill & Cafe,1031 U St," Lebanese, Mediterranean, Greek",5.0,216,,$$ - $$$,CA,93721-1419,Fresno,1080.0
Tiger Noodles,252 Nassau St," Chinese, Asian, Vegetarian Friendly",4.0,105,Stumbled upon Tiger Noodles on Nassau street while visiting Princeton University.The unique restaurant name had caught my attention.Also had wanted to satisfy my craving for Chinese food while in the area.Location is on Nassau street next to Princeton University.Stir fry dishes such as eggplant with...More,$$ - $$$,NJ,08542-4622,Princeton,420.0
Dante's California Style Pizza & Cafe,9305 Thornton Rd," Italian, Pizza, Vegetarian Friendly",4.5,27,,$$ - $$$,CA,95209-1848,Stockton,121.5
The Fork at Agate Bay,2530 Northshore Rd," American, Contemporary, Vegetarian Friendly",4.5,149,A beautiful place to celebrate my wife’s birthday.  Good food and great service.  Would definitely go back time and time again.  Check it out.,$$ - $$$,WA,98226-9477,Bellingham,670.5
Dish Society,23501 Cinco Ranch Blvd," American, Vegetarian Friendly, Vegan Options",4.0,133,"Sat on the patio,very nice. Beer good. Waiter good. My wife's Coffee crusted pork was delicious. My brisket on baked sweet potatoes was bland. BBQ sauce poor, brisket was overcooked and chewy. Meal was not hot. One star for that dish. Menus has a good...More",$$ - $$$,TX,77494-3095,Katy,532.0
Cast Iron Trading Co,114 N San Joaquin St," Italian, Vegetarian Friendly, Vegan Options",4.5,11,,Not Specified,CA,95202-2407,Stockton,49.5
The Tack Room Bar & Grill,1000 Zaragoza St," American, Steakhouse",4.5,66,Steak was excellent. Have been coming to this establishment for 32 years. The restaurant is upstairs and has about 12 tables. Dinner is offered on the porch deck overlooking the plaza if weather is good.,$$$$,TX,78040-5928,Laredo,297.0
Bavarian Grill,221 W Parker Rd Ste 257," German, European, Central European",4.5,338,"Good German food and better German beer, large selection of German Beer on Draft. The food is generous and the music is great on the weekends",$$ - $$$,TX,75023-6914,Plano,1521.0
Tara Kitchen,431 Liberty St," Moroccan, Vegetarian Friendly, Vegan Options",4.5,303,"This was my first time eating Moroccan food so I was a bit hesitant to try anything too far off the ""beaten path"" but the server was very helpful in making recommendations and everything I tried was excellent! The tea to start was very warming,...More",$$ - $$$,NY,12305-1916,Schenectady,1363.5
Barney's Brunch House,5480 FM 423," American, Vegetarian Friendly, Vegan Options",4.5,45,We were looking for a breakfast place to meet our granddaughter’s boyfriend.   We usually avoid going out for breakfast because EVERYWHERE is crowded and their is a long wait line.  This was true of Barney’s this Sunday morning but we had used the yelp app...More,$$ - $$$,TX,75034-7981,Frisco,202.5
Tony Roma's,2121 S 10th St," American, Barbecue",4.0,107,My chipotle pasta wasn't spicy at all. It had a lot of tomatoes. Shrimp wasn't fresh. Mmm maybe another platter next time.,$$ - $$$,TX,78503-5407,McAllen,428.0
Zachary's Chicago Pizza,1853 Solano Ave," Pizza, Vegetarian Friendly, Vegan Options",4.5,413,,$$ - $$$,CA,94707-2306,Berkeley,1858.5
Taqueria El Rinconsito,301 Central Ave N," Mexican, Fast Food",4.5,22,"Great spot for quick lunch or carry out.  Food is always fresh and hot.  Good value, cheerful service.  Love their food.  Can be very busy and hard to park.",$,WA,98032-4516,Kent,99.0
Mount Bakery Cafe,308 W Champion St Ste C," Cafe, American, International",4.5,253,"Overall, it is a quaint bakery with the typical bakery options.  Went to get the ""Best cinnamon roll in Bellingham"" but by 1230 on a Saturday they were already had sold out.  ??? (Must be really good?) So we tried the raspberry croissant, which while...More",$$ - $$$,WA,98225-4370,Bellingham,1138.5
Bistango Restaurant,19100 Von Karman Ave," American, Vegetarian Friendly, Gluten Free Options",4.5,243,,$$$$,CA,92612-1539,Irvine,1093.5
Mile Wine Company,2113 Pacific Ave," Wine Bar, American, Pub",4.5,32,,$$ - $$$,CA,95204-5329,Stockton,144.0
Chianti Italian Restaurant,1712 Hewitt Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,60,Much finer Italian cuisine than anywhere else locally. Not your old spaghetti house or chain unit pretending to serve Italian food.,$$ - $$$,WA,98201-3521,Everett,270.0
Antonio's Trattoria,2370 Belmont Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,228,"Waiter had no personality at all - bus boy was more involved in meal.
Hot antipasto appetizer was  not well presented or prepared as all the different items seemed to mix with each other and share the same sauces. 
Dinner- Veal Parmigiana was overcooked and...More",$$ - $$$,NY,10458-8208,Bronx,1026.0
P.F. Chang's,3545 US Highway 1," Chinese, Asian, Vegetarian Friendly",4.0,251,"We had a nice sit in dinner at this restaurant last Saturday. As always, the dishes were well prepared and tasted delicious. The coconut concoction (no alchoholic) was very tasty.  The spring rolls, veg. fried rice and eggplant curry was decent too.",$$ - $$$,NJ,08540,Princeton,1004.0
Adobe Blues Restaurant,63 Lafayette Ave," Bar, Mexican, American",4.5,89,"Adobe Blues is a small restaurant serving southwestern food on the north shore of Staten Island. It is a cozy, comfortable, nicely decorated place not far from Snug Harbor, another S.I. spot worth visiting. The Tex-Mex style food is very tasty and the waiters are...More",$$ - $$$,NY,10301-1216,Staten Island,400.5
Tyler's Burgers,149 S Indian Canyon Dr," American, Vegetarian Friendly, Gluten Free Options",4.5,780,,$$ - $$$,CA,92262-6603,"Palm Springs, Greater Palm Springs",3510.0
Talay Thai Restaurant,4520 200th St SW Ste 208A," Asian, Thai, Vegetarian Friendly",4.5,46,"Always a great place to eat Thai food.  In a strip mall, but great location ... for now.  I read it will be relocating within the next few months to make way for the light rail system - not sure where they will be relocating...More",$$ - $$$,WA,98036-6636,Lynnwood,207.0
Casey's Restaurant,77 Washington Ave," American, Bar, Vegetarian Friendly",4.5,145,This restaurant has been around for years and I have eaten at it many times both for lunch and an occasional dinner.  In the past they also had nights where the featured meals that could be ordered ahead and picked up.  I even participated in...More,$$ - $$$,NY,12144-1551,Rensselaer,652.5
Fresco Mexican Grill,1431 California Ave," Quick Bites, Mexican, Latin",4.5,32,,$,CA,93304-1407,Bakersfield,144.0
Hutch's,1375 Delaware Ave," American, Vegetarian Friendly, Gluten Free Options",4.5,384,"From the outside, Hutch's is nothing special. But inside it's charming and the food is delicious. We were lucky to walk in and get a table straight away. They seated us without complaint even though we were dressed a bit too casually. I recommend, making...More",$$$$,NY,14209-1108,Buffalo,1728.0
Lanna Thai,7825 Evergreen Way," Asian, Thai, Vegetarian Friendly",4.0,84,"20 years ago we were regulars at this restaurant. It was always busy yet the service was fast and friendly.  Now it has the same decor which really needs an overall, its not crowded and the service is slow. We waited 30 minutes for our...More",$$ - $$$,WA,98203-6435,Everett,336.0
Anthony's at Spokane Falls,510 N Lincoln St," Seafood, American, Vegetarian Friendly",4.0,923,Excellent service. The food was great. Five start treatment. Espectacular location by the river. Will definitely recommend it.More,$$ - $$$,WA,99201-2122,Spokane,3692.0
Pizzeria Testa,8660 Church St," Italian, Pizza, Vegetarian Friendly",4.5,180,"Pizza just like the ‘za I had when I was in Italy. Super fresh, simple ingredients with great flavor. Highly recommend.",$$ - $$$,TX,75034-3222,Frisco,810.0
Marie Callender's Restaurant & Bakery,3505 Merrill Ave," American, Vegetarian Friendly",4.5,41,,$$ - $$$,CA,92506-2537,Riverside,184.5
Basilio Inn,6 Galesville Ct," Italian, Gluten Free Options, Vegetarian Friendly",4.5,111,"My family dines at Basilios almost weekly. Maurice, the owner, has the freshest red sauce from homegrown tomatoes. His homemade pasta is delicious. Where the historic building lacks in interior decor the food rates top stars. Reservations are strongly suggested.",$$ - $$$,NY,10305-4702,Staten Island,499.5
Hof's Hut,23635 Crenshaw Blvd," American, Vegetarian Friendly, Vegan Options",4.0,107,,$$ - $$$,CA,90505-5204,Torrance,428.0
Parkway Grill,510 S Arroyo Pkwy," American, Contemporary, Vegetarian Friendly",4.5,334,,$$$$,CA,91105-2520,Pasadena,1503.0
Dom & Vinnie's Restaurant,351 Saw Mill River Rd," Italian, Pizza, Vegetarian Friendly",4.5,41,"Food was ok. But I’m quite annoyed at the “salad” I ordered. It was just lettuce with one cucumber slice, a tomato chunk and half or even half of a half sliver of onion. Chicken parm was ok but that salad seriously sucked. Step your...More",$$ - $$$,NY,10701-5531,Yonkers,184.5
Gloria's Latin Cuisine,8600 Gaylord Pkwy," Southwestern, Latin, Spanish",4.5,379,The patio was sensational (with great weather).. the service lacked and the food was decent.  Happy hour pricing is what you want!,$$ - $$$,TX,75034-8574,Frisco,1705.5
Frisco Diner,9250 Dallas Pkwy," Diner, Cafe, Vegetarian Friendly",5.0,23,Great food. Like an old town diner but in a brand new storefront. I had a great omelette and she had a delicious waffle.,$$ - $$$,TX,75033-4262,Frisco,115.0
BJ's Restaurant & Brewhouse,21 Teterboro Landing Dr," American, Bar, Pub",4.5,82,"We went on a Wednesday, when the special is any burger with unlimited fries for $10.  This is a great deal, as burgers are regularly $15.50 and up.  Also, beer was $4, which made my husband very happy.",$$ - $$$,NJ,07608-1120,Teterboro,369.0
Han Noodle Bar,687 Monroe Ave," Chinese, Asian, Vegetarian Friendly",4.5,135,"I had vegetables and noodles, absolutely wonderful, friendly and comfortable environment, great prices too.",$,NY,14607-3148,Rochester,607.5
Ninfa's Mexican Restaurant,215 Mary Ave," Mexican, Southwestern, Vegetarian Friendly",4.0,746,You don't normally expect gourmet food in a Mexican restaurant but you expect plenty of nicely cooked food at a reasonable price. Ninfa's fits this bill perfectly which was just what we were looking for on the last night of our tour of Texas. We...More,$$ - $$$,TX,76701-2233,Waco,2984.0
Tyee Restaurant and Motel,405 S Main St, American,3.0,73,My name is chris w.room was paid by at first by pete on Sunday the 15th i needed a room and i guess i got one abit over priced for the room i got which was #8 which a friend paid for at first i...More,$$ - $$$,WA,98239-3537,"Coupeville, Whidbey Island",219.0
Corso 98,98 Walnut St," Italian, Vegetarian Friendly, Vegan Options",4.5,117,"Have been here many times and it has been very good.  Unfortunately, this last time was a disappointment.  My steak, ordered medium rare came out medium. My wife’s filet mignon, ordered medium rare came out very, very well done and had to be sent back....More",$$ - $$$,NJ,07042-3851,Montclair,526.5
The 3rd Corner,2265 Bacon St," Wine Bar, American, Contemporary",4.5,237,,$$ - $$$,CA,92107-1304,San Diego,1066.5
Gola Osteria,115 S Quarry St," Italian, Vegetarian Friendly, Gluten Free Options",4.5,201,"We ate with a large group of about a dozen, and the food was served family style. It makes my mouth water just to write about the delicious Italian dishes.  The chicken parm melted in you mouth, and the pasta was genuine. The food is...More",$$$$,NY,14850-4500,Ithaca,904.5
El Bracero Mexican Grill,3303 Bell St," Mexican, Southwestern, Vegetarian Friendly",4.5,291,"Great Food
El Bracero is off the beaten path but worth the trip. Very unassuming building but great menu. Try the seafood entrees. The shrimp in red sauce is outstanding and not found in the usual Mexican restaurant.",$,TX,79106-5038,Amarillo,1309.5
Elmer's Restaurant - Mill Plain,11310 SE Mill Plain Blvd," Diner, American, Vegetarian Friendly",4.5,109,"Stopped here because it was down the street from my motel.  Had breakfast here, but not impressed witht the meal.  Service was ho hum, will not be going there again.",$$ - $$$,WA,98684-5044,Vancouver,490.5
Rock Bottom Restaurant & Brewery,1 Pine Ave," American, Bar, Pub",4.0,603,,$$ - $$$,CA,90802,Long Beach,2412.0
Bai Tong,14804 NE 24th St," Asian, Thai, Vegetarian Friendly",4.5,290,Great food and ambience. They have a nice bar as well and the staff is really helpful... Have been going here since past 8 years...,$$ - $$$,WA,98052-5533,Redmond,1305.0
Sam Woo,15333 Culver Dr Ste 720," Chinese, Seafood, Asian",4.0,253,,$$ - $$$,CA,92604-7128,Irvine,1012.0
Firenze Ristorante Italiano,15600 NE 8th St," Italian, Vegetarian Friendly, Gluten Free Options",4.5,184,"Well we had not been to Firenze for several years, reservation for 7 pm on New Year’s eve. The service was too good ( felt rushed and felt they wanted to turn the tables which I am sure they were ), food was ok. Split...More",$$ - $$$,WA,98008-3927,Bellevue,828.0
Ten50 Bbq,1050 N Central Expy," American, Barbecue, Gluten Free Options",4.0,436,Great Barbecue - well it was our last night in Dallas and how could you be in Texas with out bbq?  So we ordered a number of types of meat to go so we could dine with our friends.  They are well equipped for catering...More,$$ - $$$,TX,75080-4601,Richardson,1744.0
Veganized,9 Spring St," American, Vegan Options, Vegetarian Friendly",4.5,98,"It's almost a shame with the choice of name as it woudl put off the carniovors in the crowd. This is unfounded as the food is excellent and very tasty. The creative flavours means there is something for everyone, regadless of dietary persuasion. 

The move...More",$$ - $$$,NJ,08901-2107,New Brunswick,441.0
Hudson Point Cafe,130 Hudson St," American, Cafe, Vegetarian Friendly",4.5,396,"I have been here three times in the past year ( I am a visitor to Port Townsend) each time I have been very happy. Today’s selection of their clam chowder was WOW good. It is a tasty broth with in shell clams, potatoes, onions...More",$$ - $$$,WA,98368-5630,Port Townsend,1782.0
Caprock Cafe,3405 34th St," Bar, American",4.5,75,"This is a great place to hang out and have some great comfort food!.  Come as you are, watch the Red Raiders on the big screen tvs.",$$ - $$$,TX,79410-2829,Lubbock,337.5
LIC Market,2152 44th Dr," American, International, Vegetarian Friendly",4.5,201,"A friend and myself finally got around to checking out this cute location for Sunday brunch. And so glad we did! The food was delicious and reasonably priced (for a “NYC” weekend brunch - we spent about $30 each, which included the two mimosas we...More",$$ - $$$,NY,11101-4710,Long Island City,904.5
Brewery City Pizza CO,4353 Martin Way E," Pizza, Vegetarian Friendly",4.0,119,The pizza from Brewery City Pizza was very good.  I enjoyed every bite.  I would recommend someone in the South Sound area looking for pizza consider going here.,$$ - $$$,WA,98516-5368,Olympia,476.0
Osteria 166,166 Franklin St," Italian, Vegetarian Friendly, Vegan Options",4.5,332,"Absolutely delicious , authentic Italian cuisine !!! Great stuff 🎈delicious dessert! Awesome pizza ,authentic carbonara",$$ - $$$,NY,14202-2407,Buffalo,1494.0
Lakruwana,668 Bay St," Asian, Sri Lankan, Vegetarian Friendly",4.5,51,"I’ve been to many Sri Lankan restaurants, during my time in NYC, but this place is certainly the best we have that is still standing. As soon as you walk in, you don’t feel like looking at a menu, you just want to EAT because...More",$$ - $$$,NY,10304-3829,Staten Island,229.5
Palermo's,674 US Highway 206," Italian, Pizza, Vegetarian Friendly",4.5,119,Pizza was really good on Saturdays its2 for 20 the service was outstanding waitress  recommended  we get one at a time so they would be hot,$$ - $$$,NJ,08505-1540,Bordentown,535.5
Osaka Teriyaki and Sushi,4101 W 27th Ave," Japanese, Sushi, Asian",4.0,99,I ate at this restaurant quite a few times while outta town working. Everytime I ate here it was great and I was over stuffed! Can get a little spendy if you get the specialty ones. Nice little selection of sake as well if you're...More,$$ - $$$,WA,99338-2336,Kennewick,396.0
Anthony's Cheesecake,71 Washington street," American, Cafe, Contemporary",4.5,108,"I went to Anthonys Cheesecake after people recommended this restaurant for brunch. I had the chicken and waffles. The waffles were soggy , and the dish was way over salted I am pretty sure it was the chicken. I did tell the owner who responded...More",$$ - $$$,NJ,07003,Bloomfield,486.0
Taverna Banfi,130 Statler Drive," Italian, Vegetarian Friendly, Gluten Free Options",4.0,172,"Outstanding place for dinner especially if one is in the Cornell University area. Like others, the food is wonderful but like others say, the price is stiff. First class restaurant with good atmosphere, great senic view, great service and since Cornell is on top of...More",$$$$,NY,14853-6901,Ithaca,688.0
Altura Restaurant,617 Broadway E," Italian, Vegetarian Friendly",4.5,345,"I don't attend fancy dinners, but decided to splurge once with another couple. Simply amazing! The food had layers of flavor that literally became the topic of conversation until the next dish. Drinks were endless and the atmosphere melted away as the focus was on...More",$$$$,WA,98102-5025,Seattle,1552.5
Aarzu Modern Indian Bistro,30 E Main St," Indian, Vegetarian Friendly, Vegan Options",5.0,76,Visited this restaurant for my wife’s birthday dinner.  The food was delicious and the service was exceptional.  Great BYOB.  We shared everything we ordered.  Some of the best Indian cuisine in NJ.,$$ - $$$,NJ,07728-2202,Freehold,380.0
Siciliano's--A Taste of Italy,2210 W Buckingham Rd," Italian, Pizza, Vegetarian Friendly",4.5,207,The food at Siciliano's is always top notch.  The service is excellent. The pace in which the food is ordered and received couldn't be better. The rolls are awesome.  Just yummy.  Highly recommend this restaurant.,$$ - $$$,TX,75042-4900,Garland,931.5
Taqueria El Rinconsito,19409 36th Ave W," Mexican, Latin",4.5,23,We are here visiting our son on our annual August visit.  We spent the day at the beach with our son and his friends and returning to the hotel Labor Day evening were hungry so we decided to give this restaurant a try based on...More,$,WA,98036-5711,Lynnwood,103.5
Triumph Brewing Company of Princeton,138 Nassau St," American, Bar, Pub",4.0,597,"My wife and I were here last Sunday evening. Sat up stairs so it would be quieter, football games on TV's below. Did a flight of beers to start, good and cold and about what we expected. I had the Fish and Chips. Perfectly prepared...More",$$ - $$$,NJ,08542-7011,Princeton,2388.0
